"year","election_type","state","votes","eligible_voters"
2010,"Midterm","Missouri",1997271,4366435
2010,"Midterm","Montana",367096,758653
2010,"Midterm","Nebraska",503514,1301483
2010,"Midterm","Nevada",723515,1747288
2010,"Midterm","New Hampshire",461423,999918
2010,"Midterm","New Jersey",2200974,5834037
2010,"Midterm","New Mexico",630013,1408872
2010,"Midterm","New York",4763899,13135048
2010,"Midterm","North Carolina",2700706,6785463
2010,"Midterm","North Dakota",241039,516974
2010,"Midterm","Ohio",3956028,8571952
2010,"Midterm","Oklahoma",1043507,2666767
2010,"Midterm","Oregon",1487210,2760607
2010,"Midterm","Pennsylvania",4055336,9565822
2010,"Midterm","Rhode Island",346357,763534
2010,"Midterm","South Carolina",1365480,3388417
2010,"Midterm","South Dakota",323410,599507
2010,"Midterm","Tennessee",1620619,4622919
2010,"Midterm","Texas",5066957,15514007
2010,"Midterm","Utah",653274,1772934
2010,"Midterm","Vermont",243617,488942
2010,"Midterm","Virginia",2214505,5660589
2010,"Midterm","Washington",2565589,4724350
2010,"Midterm","West Virginia",536493,1442003
2010,"Midterm","Wisconsin",2185021,4172130
2010,"Midterm","Wyoming",190822,414536
2008,"Presidential","Alabama",2105622,3454510
2008,"Presidential","Alaska",327341,479429
2008,"Presidential","Arizona",2320851,4046075
2008,"Presidential","Arkansas",1095958,2071563
2008,"Presidential","California",13743177,22261504
2008,"Presidential","Colorado",2422236,3382959
2008,"Presidential","Connecticut",NA,2471082
2008,"Presidential","Delaware",413562,628200
2008,"Presidential","District of Columbia",266871,432566
2008,"Presidential","Florida",8453743,12687407
2008,"Presidential","Georgia",3940705,6281872
2008,"Presidential","Hawaii",456064,930067
2008,"Presidential","Idaho",667506,1029416
2008,"Presidential","Illinois",5578195,8681138
2008,"Presidential","Indiana",2805986,4653019
2008,"Presidential","Iowa",1543662,2216094
2008,"Presidential","Kansas",1264208,1991759
2008,"Presidential","Kentucky",1858578,3152629
2008,"Presidential","Louisiana",1979852,3205794
2008,"Presidential","Maine",744456,1036242
2008,"Presidential","Maryland",2661905,3925117
2008,"Presidential","Massachusetts",3102995,4612550
2008,"Presidential","Michigan",5039080,7229512
2008,"Presidential","Minnesota",2921147,3740142
2008,"Presidential","Mississippi",NA,2113347
2008,"Presidential","Missouri",2950504,4327572
2008,"Presidential","Montana",497599,741853
2008,"Presidential","Nebraska",811923,1274719
2008,"Presidential","Nevada",970019,1696831
2008,"Presidential","New Hampshire",719643,992226
2008,"Presidential","New Jersey",3910220,5776527
2008,"Presidential","New Mexico",833365,1362629
2008,"Presidential","New York",7721718,12948969
2008,"Presidential","North Carolina",4354571,6584302
2008,"Presidential","North Dakota",321133,504762
2008,"Presidential","Ohio",5773777,8513079
2008,"Presidential","Oklahoma",1474694,2619121
2008,"Presidential","Oregon",1845251,2700327
2008,"Presidential","Pennsylvania",6071357,9457942
2008,"Presidential","Rhode Island",475428,763608
2008,"Presidential","South Carolina",1927153,3311044
2008,"Presidential","South Dakota",387449,590720
2008,"Presidential","Tennessee",2618238,4563192
2008,"Presidential","Texas",NA,14929810
2008,"Presidential","Utah",971185,1700286
2008,"Presidential","Vermont",326822,482677
2008,"Presidential","Virginia",3753059,5555415
2008,"Presidential","Washington",3071587,4561163
2008,"Presidential","West Virginia",731691,1430439
2008,"Presidential","Wisconsin",2997086,4120694
2008,"Presidential","Wyoming",256035,405732
2006,"Midterm","Alabama",NA,3338467
2006,"Midterm","Alaska",238307,465169
2006,"Midterm","Arizona",1553032,3923786
2006,"Midterm","Arkansas",780409,2004193
2006,"Midterm","California",8899059,21582217
2006,"Midterm","Colorado",1586105,3297308
2006,"Midterm","Connecticut",1162391,2437559
2006,"Midterm","Delaware",258053,601341
2006,"Midterm","District of Columbia",122356,426612
2006,"Midterm","Florida",4884544,12187858
2006,"Midterm","Georgia",2143845,6115331
2006,"Midterm","Hawaii",348988,908925
2006,"Midterm","Idaho",458927,993010
2006,"Midterm","Illinois",3586292,8667453
2006,"Midterm","Indiana",1719351,4559294
2006,"Midterm","Iowa",1071509,2178322
2006,"Midterm","Kansas",864083,1948850
2006,"Midterm","Kentucky",1370062,3100828
2006,"Midterm","Louisiana",954896,3043573
2006,"Midterm","Maine",NA,1016287
2006,"Midterm","Maryland",1809237,3833349
2006,"Midterm","Massachusetts",2243835,4552794
2006,"Midterm","Michigan",3852008,7292624
2006,"Midterm","Minnesota",2217552,3667707
2006,"Midterm","Mississippi",NA,2077420
2006,"Midterm","Missouri",2178278,4253541
2006,"Midterm","Montana",411061,720447
2006,"Midterm","Nebraska",610499,1251027
2006,"Midterm","Nevada",586274,1579222
2006,"Midterm","New Hampshire",418550,975281
2006,"Midterm","New Jersey",2315643,5701033
2006,"Midterm","New Mexico",568597,1320285
2006,"Midterm","New York",4703830,12878632
2006,"Midterm","North Carolina",2036451,6264630
2006,"Midterm","North Dakota",220479,486142
2006,"Midterm","Ohio",4184072,8461211
2006,"Midterm","Oklahoma",NA,2547224
2006,"Midterm","Oregon",1399650,2628937
2006,"Midterm","Pennsylvania",NA,9283762
2006,"Midterm","Rhode Island",392882,754219
2006,"Midterm","South Carolina",1117311,3152046
2006,"Midterm","South Dakota",341105,580592
2006,"Midterm","Tennessee",1868363,4433921
2006,"Midterm","Texas",NA,14255313
2006,"Midterm","Utah",582561,1664323
2006,"Midterm","Vermont",263025,478247
2006,"Midterm","Virginia",2398589,5385522
2006,"Midterm","Washington",2085074,4403981
2006,"Midterm","West Virginia",473014,1401490
2006,"Midterm","Wisconsin",2183155,4064432
2006,"Midterm","Wyoming",196217,379127
2004,"Presidential","Alabama",1890317,3292608
2004,"Presidential","Alaska",314502,452124
2004,"Presidential","Arizona",2038069,3717055
2004,"Presidential","Arkansas",1070573,1969208
2004,"Presidential","California",12589367,21132533
2004,"Presidential","Colorado",2148036,3192647
2004,"Presidential","Connecticut",1607808,2429634
2004,"Presidential","Delaware",377407,584817
2004,"Presidential","District of Columbia",230105,419142
2004,"Presidential","Florida",7640319,11811921
2004,"Presidential","Georgia",3317336,5878186
2004,"Presidential","Hawaii",431662,889540
2004,"Presidential","Idaho",612786,946160
2004,"Presidential","Illinois",5350493,8576696
2004,"Presidential","Indiana",2512142,4504260
2004,"Presidential","Iowa",1521966,2156389
2004,"Presidential","Kansas",1213108,1928764
2004,"Presidential","Kentucky",1816867,3057741
2004,"Presidential","Louisiana",1956590,3182762
2004,"Presidential","Maine",751519,1003792
2004,"Presidential","Maryland",2395791,3797264
2004,"Presidential","Massachusetts",2927455,4533859
2004,"Presidential","Michigan",4875692,7263024
2004,"Presidential","Minnesota",2842912,3609185
2004,"Presidential","Mississippi",NA,2068766
2004,"Presidential","Missouri",2764635,4180960
2004,"Presidential","Montana",456096,699114
2004,"Presidential","Nebraska",792906,1236522
2004,"Presidential","Nevada",831563,1501437
2004,"Presidential","New Hampshire",683672,956422
2004,"Presidential","New Jersey",3638153,5663201
2004,"Presidential","New Mexico",775301,1282767
2004,"Presidential","New York",7448266,12738056
2004,"Presidential","North Carolina",3552449,6055771
2004,"Presidential","North Dakota",316049,482722
2004,"Presidential","Ohio",5722443,8427696
2004,"Presidential","Oklahoma",NA,2510823
2004,"Presidential","Oregon",1851671,2550887
2004,"Presidential","Pennsylvania",NA,9221962
2004,"Presidential","Rhode Island",440228,747046
2004,"Presidential","South Carolina",1626720,3055098
2004,"Presidential","South Dakota",394930,569161
2004,"Presidential","Tennessee",2456610,4328446
2004,"Presidential","Texas",NA,13796256
2004,"Presidential","Utah",942010,1574463
2004,"Presidential","Vermont",314220,470754
2004,"Presidential","Virginia",3223156,5277156
2004,"Presidential","Washington",2883499,4272914
2004,"Presidential","West Virginia",769645,1396545
2004,"Presidential","Wisconsin",3016288,4006948
2004,"Presidential","Wyoming",245789,370785
2002,"Midterm","Alabama",NA,3285643
2002,"Midterm","Alaska",232852,427337
2002,"Midterm","Arizona",1255615,3419481
2002,"Midterm","Arkansas",814176,1951568
2002,"Midterm","California",7738821,20733192
2002,"Midterm","Colorado",1424029,3056465
2002,"Midterm","Connecticut",1090756,2418037
2002,"Midterm","Delaware",NA,564938
2002,"Midterm","District of Columbia",NA,412062
2002,"Midterm","Florida",5143674,11194391
2002,"Midterm","Georgia",NA,5731983
2002,"Midterm","Hawaii",385462,872992
2002,"Midterm","Idaho",416533,921256
2002,"Midterm","Illinois",3651808,8540965
2002,"Midterm","Indiana",1562037,4494191
2002,"Midterm","Iowa",1040201,2136683
2002,"Midterm","Kansas",851966,1897261
