"year","election_type","state","votes","eligible_voters"
1990,"Midterm","New Hampshire",307700,814549
1990,"Midterm","New Jersey",1998894,5429251
1990,"Midterm","New Mexico",429509,1026902
1990,"Midterm","New York",4290261,12271903
1990,"Midterm","North Carolina",NA,4938968
1990,"Midterm","North Dakota",240301,461711
1990,"Midterm","Ohio",3620469,7975680
1990,"Midterm","Oklahoma",929639,2251719
1990,"Midterm","Oregon",1133125,2057833
1990,"Midterm","Pennsylvania",NA,8962083
1990,"Midterm","Rhode Island",375188,725084
1990,"Midterm","South Carolina",793614,2537384
1990,"Midterm","South Dakota",NA,494849
1990,"Midterm","Tennessee",NA,3624940
1990,"Midterm","Texas",NA,11034190
1990,"Midterm","Utah",457983,1086050
1990,"Midterm","Vermont",217384,415564
1990,"Midterm","Virginia",NA,4512504
1990,"Midterm","Washington",1362651,3421256
1990,"Midterm","West Virginia",NA,1347723
1990,"Midterm","Wisconsin",NA,3541548
1990,"Midterm","Wyoming",164309,312961
1988,"Presidential","Alabama",NA,2901744
1988,"Presidential","Alaska",203433,355023
1988,"Presidential","Arizona",1204169,2454254
1988,"Presidential","Arkansas",NA,1689491
1988,"Presidential","California",10194539,17738700
1988,"Presidential","Colorado",1416265,2327768
1988,"Presidential","Connecticut",1461962,2379699
1988,"Presidential","Delaware",254973,472441
1988,"Presidential","District of Columbia",197135,453636
1988,"Presidential","Florida",NA,8777510
1988,"Presidential","Georgia",NA,4459739
1988,"Presidential","Hawaii",368567,739890
1988,"Presidential","Idaho",421213,667345
1988,"Presidential","Illinois",4697192,7950848
1988,"Presidential","Indiana",2222811,3996319
1988,"Presidential","Iowa",1240854,2021793
1988,"Presidential","Kansas",NA,1774451
1988,"Presidential","Kentucky",NA,2680364
1988,"Presidential","Louisiana",NA,2941023
1988,"Presidential","Maine",NA,888612
1988,"Presidential","Maryland",1747350,3325582
1988,"Presidential","Massachusetts",2689857,4385728
1988,"Presidential","Michigan",3745751,6608812
1988,"Presidential","Minnesota",2125119,3087194
1988,"Presidential","Mississippi",NA,1792847
1988,"Presidential","Missouri",NA,3696905
1988,"Presidential","Montana",378981,568014
1988,"Presidential","Nebraska",678669,1125252
1988,"Presidential","Nevada",354261,768131
1988,"Presidential","New Hampshire",462503,800468
1988,"Presidential","New Jersey",3102502,5435008
1988,"Presidential","New Mexico",535694,1002876
1988,"Presidential","New York",6636310,12300666
1988,"Presidential","North Carolina",NA,4794041
1988,"Presidential","North Dakota",309100,466684
1988,"Presidential","Ohio",4505284,7869099
1988,"Presidential","Oklahoma",1192815,2245785
1988,"Presidential","Oregon",1235199,1982355
1988,"Presidential","Pennsylvania",NA,8892826
1988,"Presidential","Rhode Island",415963,721773
1988,"Presidential","South Carolina",1041846,2453644
1988,"Presidential","South Dakota",NA,494034
1988,"Presidential","Tennessee",NA,3551452
1988,"Presidential","Texas",NA,10833436
1988,"Presidential","Utah",661546,1043170
1988,"Presidential","Vermont",270148,404795
1988,"Presidential","Virginia",NA,4396900
1988,"Presidential","Washington",1923043,3282173
1988,"Presidential","West Virginia",NA,1347692
1988,"Presidential","Wisconsin",NA,3489742
1988,"Presidential","Wyoming",186417,315073
1986,"Midterm","Alabama",NA,2869652
1986,"Midterm","Alaska",182526,351841
1986,"Midterm","Arizona",889668,2319046
1986,"Midterm","Arkansas",NA,1681564
1986,"Midterm","California",7617142,17166275
1986,"Midterm","Colorado",1096867,2309652
1986,"Midterm","Connecticut",1025605,2344327
1986,"Midterm","Delaware",165563,455609
1986,"Midterm","District of Columbia",134158,465993
1986,"Midterm","Florida",NA,8384015
1986,"Midterm","Georgia",NA,4300049
1986,"Midterm","Hawaii",344416,715459
1986,"Midterm","Idaho",392909,663126
1986,"Midterm","Illinois",3322657,7912733
1986,"Midterm","Indiana",1619005,3943714
1986,"Midterm","Iowa",922094,2020678
1986,"Midterm","Kansas",NA,1757001
1986,"Midterm","Kentucky",NA,2661218
1986,"Midterm","Louisiana",NA,3014498
1986,"Midterm","Maine",NA,858200
1986,"Midterm","Maryland",1161136,3216833
1986,"Midterm","Massachusetts",1777276,4326264
1986,"Midterm","Michigan",2468009,6520661
1986,"Midterm","Minnesota",1456579,3024070
1986,"Midterm","Mississippi",NA,1782721
1986,"Midterm","Missouri",NA,3655213
1986,"Midterm","Montana",326436,572113
1986,"Midterm","Nebraska",577916,1123099
1986,"Midterm","Nevada",264365,700192
1986,"Midterm","New Hampshire",257410,760526
1986,"Midterm","New Jersey",1639330,5396487
1986,"Midterm","New Mexico",408621,987220
1986,"Midterm","New York",4481718,12263480
1986,"Midterm","North Carolina",NA,4653016
1986,"Midterm","North Dakota",295177,473962
1986,"Midterm","Ohio",3628870,7781083
1986,"Midterm","Oklahoma",934447,2290182
1986,"Midterm","Oregon",1088140,1928782
1986,"Midterm","Pennsylvania",NA,8820459
1986,"Midterm","Rhode Island",322724,711034
1986,"Midterm","South Carolina",763493,2393329
1986,"Midterm","South Dakota",NA,492333
1986,"Midterm","Tennessee",NA,3478867
1986,"Midterm","Texas",NA,10786533
1986,"Midterm","Utah",445499,1024337
1986,"Midterm","Vermont",211709,389843
1986,"Midterm","Virginia",NA,4240797
1986,"Midterm","Washington",1358160,3151152
1986,"Midterm","West Virginia",449249,1370305
1986,"Midterm","Wisconsin",NA,3432034
1986,"Midterm","Wyoming",168615,328971
1984,"Presidential","Alabama",NA,2831099
1984,"Presidential","Alaska",213173,343030
1984,"Presidential","Arizona",1051339,2151391
1984,"Presidential","Arkansas",NA,1668136
1984,"Presidential","California",9796375,16618345
1984,"Presidential","Colorado",1343437,2267668
1984,"Presidential","Connecticut",1490946,2300533
1984,"Presidential","Delaware",258182,442354
1984,"Presidential","District of Columbia",219193,471669
1984,"Presidential","Florida",NA,7976805
1984,"Presidential","Georgia",NA,4119852
1984,"Presidential","Hawaii",349253,694187
1984,"Presidential","Idaho",421935,662771
1984,"Presidential","Illinois",4969352,7922605
1984,"Presidential","Indiana",2268493,3916362
1984,"Presidential","Iowa",1339886,2057482
1984,"Presidential","Kansas",NA,1751223
1984,"Presidential","Kentucky",NA,2643027
1984,"Presidential","Louisiana",NA,3019930
1984,"Presidential","Maine",NA,840251
1984,"Presidential","Maryland",1695924,3113967
1984,"Presidential","Massachusetts",2595054,4273437
1984,"Presidential","Michigan",3884854,6407156
1984,"Presidential","Minnesota",2115317,2982015
1984,"Presidential","Mississippi",NA,1766654
1984,"Presidential","Missouri",NA,3617948
1984,"Presidential","Montana",395006,578925
1984,"Presidential","Nebraska",670781,1135012
1984,"Presidential","Nevada",294413,656862
1984,"Presidential","New Hampshire",406608,718967
1984,"Presidential","New Jersey",3215941,5318696
1984,"Presidential","New Mexico",522328,956246
1984,"Presidential","New York",7000828,12232120
1984,"Presidential","North Carolina",NA,4512013
1984,"Presidential","North Dakota",324179,482655
1984,"Presidential","Ohio",4664223,7732456
1984,"Presidential","Oklahoma",1290555,2324445
1984,"Presidential","Oregon",1265824,1906880
1984,"Presidential","Pennsylvania",NA,8790815
1984,"Presidential","Rhode Island",422851,697537
1984,"Presidential","South Carolina",1018701,2329080
1984,"Presidential","South Dakota",NA,494651
1984,"Presidential","Tennessee",NA,3415760
1984,"Presidential","Texas",NA,10582774
1984,"Presidential","Utah",641846,998820
1984,"Presidential","Vermont",235140,381479
1984,"Presidential","Virginia",NA,4100160
1984,"Presidential","Washington",1931546,3072714
1984,"Presidential","West Virginia",NA,1391427
1984,"Presidential","Wisconsin",NA,3409202
1984,"Presidential","Wyoming",196153,338733
1982,"Midterm","Alabama",NA,2780689
1982,"Midterm","Alaska",199458,307558
1982,"Midterm","Arizona",742923,2017098
1982,"Midterm","Arkansas",NA,1639482
1982,"Midterm","California",8064314,16161555
1982,"Midterm","Colorado",1037774,2196263
1982,"Midterm","Connecticut",1112428,2253328
1982,"Midterm","Delaware",195726,430257
1982,"Midterm","District of Columbia",NA,470719
1982,"Midterm","Florida",NA,7565499
1982,"Midterm","Georgia",NA,3945107
1982,"Midterm","Hawaii",325459,671172
1982,"Midterm","Idaho",332237,650534
1982,"Midterm","Illinois",3856875,7908220
1982,"Midterm","Indiana",1834225,3879314
1982,"Midterm","Iowa",1050495,2068844
1982,"Midterm","Kansas",NA,1736298
1982,"Midterm","Kentucky",NA,2615445
1982,"Midterm","Louisiana",NA,2982702
1982,"Midterm","Maine",NA,817814
1982,"Midterm","Maryland",1190011,3034834
1982,"Midterm","Massachusetts",2103780,4184146
1982,"Midterm","Michigan",3135928,6357552
1982,"Midterm","Minnesota",1834737,2943169
1982,"Midterm","Mississippi",NA,1743267
1982,"Midterm","Missouri",NA,3567803
1982,"Midterm","Montana",328082,569629
1982,"Midterm","Nebraska",559422,1128918
1982,"Midterm","Nevada",242578,621060
1982,"Midterm","New Hampshire",289057,686264
1982,"Midterm","New Jersey",2286925,5224732
1982,"Midterm","New Mexico",417945,919311
1982,"Midterm","New York",5437367,12118685
1982,"Midterm","North Carolina",NA,4347870
1982,"Midterm","North Dakota",272876,476851
1982,"Midterm","Ohio",3551995,7692059
1982,"Midterm","Oklahoma",901488,2302670
1982,"Midterm","Oregon",1063913,1895706
1982,"Midterm","Pennsylvania",NA,8749931
1982,"Midterm","Rhode Island",370928,684977
1982,"Midterm","South Carolina",688300,2260577
1982,"Midterm","South Dakota",NA,489474
1982,"Midterm","Tennessee",NA,3357236
1982,"Midterm","Texas",NA,10228820
1982,"Midterm","Utah",537207,962724
1982,"Midterm","Vermont",172084,372982
1982,"Midterm","Virginia",NA,3960296
1982,"Midterm","Washington",1404831,2999997
1982,"Midterm","West Virginia",NA,1399303
1982,"Midterm","Wisconsin",NA,3372875
1982,"Midterm","Wyoming",172065,344218
1980,"Presidential","Alabama",NA,2726249
1980,"Presidential","Alaska",162653,270122
1980,"Presidential","Arizona",898183,1890167
1980,"Presidential","Arkansas",NA,1610104
1980,"Presidential","California",8775459,15610966
1980,"Presidential","Colorado",1225549,2071959
1980,"Presidential","Connecticut",1423403,2201356
1980,"Presidential","Delaware",239136,421344
1980,"Presidential","District of Columbia",178434,470956
1980,"Presidential","Florida",NA,7088658
1980,"Presidential","Georgia",NA,3791652
1980,"Presidential","Hawaii",318026,646583
1980,"Presidential","Idaho",446045,633624
1980,"Presidential","Illinois",4868890,7868300
1980,"Presidential","Indiana",2275433,3846321
1980,"Presidential","Iowa",1314258,2070935
1980,"Presidential","Kansas",NA,1704420
1980,"Presidential","Kentucky",NA,2562572
1980,"Presidential","Louisiana",NA,2868792
1980,"Presidential","Maine",NA,799746
1980,"Presidential","Maryland",1557709,2964704
1980,"Presidential","Massachusetts",2566807,4110721
1980,"Presidential","Michigan",3978647,6374955
1980,"Presidential","Minnesota",2079451,2882406
1980,"Presidential","Mississippi",NA,1704163
1980,"Presidential","Missouri",NA,3529489
1980,"Presidential","Montana",371976,554636
1980,"Presidential","Nebraska",651281,1115142
1980,"Presidential","Nevada",297318,573118
1980,"Presidential","New Hampshire",402415,660560
1980,"Presidential","New Jersey",2999879,5123773
1980,"Presidential","New Mexico",464848,873515
1980,"Presidential","New York",6359218,12006100
1980,"Presidential","North Carolina",NA,4203817
1980,"Presidential","North Dakota",314525,462223
1980,"Presidential","Ohio",4378937,7637813
1980,"Presidential","Oklahoma",1172303,2162051
1980,"Presidential","Oregon",1209691,1880863
1980,"Presidential","Pennsylvania",NA,8664166
1980,"Presidential","Rhode Island",423349,675067
1980,"Presidential","South Carolina",922397,2176721
1980,"Presidential","South Dakota",NA,484328
1980,"Presidential","Tennessee",NA,3285608
1980,"Presidential","Texas",NA,9572904
1980,"Presidential","Utah",609691,915484
1980,"Presidential","Vermont",215500,363143
1980,"Presidential","Virginia",NA,3830887
1980,"Presidential","Washington",1772904,2923670
1980,"Presidential","West Virginia",742150,1387231
1980,"Presidential","Wisconsin",NA,3322053
1980,"Presidential","Wyoming",181004,326644
